text,label
I will pay the full amount tomorrow by UPI,PTP
I will definitely pay 15000 rupees on Friday,PTP
I promise to pay the entire EMI by next Monday,PTP
Sir I will transfer the full payment tomorrow morning,PTP
Yes I will pay on the 25th without fail,PTP
I am paying the complete due amount tonight itself,PTP
Don't worry I will clear all dues by next week,PTP
I will pay 25000 by Saturday using net banking,PTP
Confirmed I will pay full amount on salary date,PTP
I will pay the EMI tomorrow definitely,PTP
Sure I will make the full payment by 30th of this month,PTP
I am transferring the whole amount in one hour,PTP
I will pay 50000 rupees on 15th December,PTP
Yes please send the link I will pay full amount now,PTP
I will clear the entire outstanding by Monday,PTP
I promise to pay all the pending EMIs this week,PTP
I will deposit the cheque tomorrow for full amount,PTP
I commit to paying 18500 by next Tuesday,PTP
I will arrange the money and pay by Friday for sure,PTP
I am paying the full amount via NEFT today,PTP
I will pay total amount within two days,PTP
I will settle entire bill tomorrow before 5 pm,PTP
By this weekend full payment will be done,PTP
I will pay all the dues in one shot tomorrow,PTP
Madam I will pay full payment on first of next month,PTP
I can pay half now and half next month,Partial Payment
Sir I can only manage 5000 right now,Partial Payment
I will pay 50 percent this week and the rest later,Partial Payment
Can I pay in two installments,Partial Payment
I can pay 3000 tomorrow and remaining after salary,Partial Payment
Only part payment is possible right now,Partial Payment
Let me pay 2000 first and balance next week,Partial Payment
I can pay just 7000 today out of total,Partial Payment
Can you accept partial payment of 4000 now,Partial Payment
I will give half amount tomorrow rest on salary day,Partial Payment
Right now I can only pay one EMI not all of them,Partial Payment
I can pay 1500 first and rest of it in two weeks,Partial Payment
Let me do partial settlement of 6000 this month,Partial Payment
I will split it into two payments if okay,Partial Payment
I can pay only the minimum due amount currently,Partial Payment
Sir my budget allows only half payment now,Partial Payment
Can we do 8000 now and 8000 next month,Partial Payment
I will pay 30 percent today and clear rest later,Partial Payment
Maybe I can pay 5000 this week as part payment,Partial Payment
I can only afford to pay one installment this time,Partial Payment
Partial payment of three thousand is what I can do,Partial Payment
Please accept half now I will pay other half soon,Partial Payment
I will pay 2500 immediately and rest in three weeks,Partial Payment
Let me clear at least one EMI for now,Partial Payment
I can do part payment of 10000 tomorrow,Partial Payment
I cannot pay anything right now,Refusal
I refuse to pay this amount,Refusal
This is not my loan I will not pay,Refusal
Don't call me again I am not paying,Refusal
I lost my job there is no way I can pay,Refusal
Stop harassing me I won't pay,Refusal
I have no money to pay at all,Refusal
I am not able to pay this month or next,Refusal
Forget this loan I will not be paying,Refusal
This is a wrong number stop calling,Refusal
I refuse to acknowledge this debt,Refusal
I have zero income I cannot pay anything,Refusal
Take me to court I am not paying,Refusal
Do whatever you want I have no money,Refusal
I am not interested in paying this,Refusal
Don't bother me I won't pay a single rupee,Refusal
There is no chance I will pay this amount,Refusal
I have decided not to pay this loan,Refusal
I will never pay this amount stop calling,Refusal
This is harassment I am not paying anything,Refusal
You can do whatever I refuse to pay,Refusal
I am unemployed and cannot pay anything,Refusal
I dispute this charge and will not pay,Refusal
I have no plans of paying this back,Refusal
Get lost I am not paying any amount,Refusal
I already paid this amount last week,Already Paid
I paid it yesterday through UPI please check,Already Paid
The payment is already done check your records,Already Paid
I have settled this loan three months ago,Already Paid
I already cleared the dues why are you calling,Already Paid
Sir I paid 20000 on the 5th itself,Already Paid
The amount has been transferred check with your team,Already Paid
I made the payment via NEFT two days back,Already Paid
The EMI was deducted automatically last week,Already Paid
I already paid the full amount please update,Already Paid
This is paid already I have the receipt,Already Paid
Payment was made on 10th December via cheque,Already Paid
I have proof of payment from last month,Already Paid
The transaction is complete please verify,Already Paid
Already paid in full no dues remaining,Already Paid
I paid this last month please update your records,Already Paid
I have the screenshot of payment dated 2nd,Already Paid
Bank has already debited the amount please check,Already Paid
Why are you calling I paid 15000 last Friday,Already Paid
Payment receipt number is 12345 I already paid,Already Paid
Done it auto-debited from my salary account,Already Paid
I cleared this dues two weeks back already,Already Paid
You can check my account transaction I paid yesterday,Already Paid
Money has been sent please confirm receipt,Already Paid
I paid before due date itself please verify,Already Paid
Hello,Ambiguous
Yes,Ambiguous
Okay,Ambiguous
Who is this,Ambiguous
What is this about,Ambiguous
I am driving call me later,Ambiguous
Speak to my husband,Ambiguous
Can you call after some time,Ambiguous
Hmm okay,Ambiguous
I dont know about this,Ambiguous
Let me check and call you back,Ambiguous
I am busy right now,Ambiguous
Can you repeat that please,Ambiguous
I need to talk to my family first,Ambiguous
Please send the details by SMS,Ambiguous
I will think about it,Ambiguous
Maybe call tomorrow,Ambiguous
Sorry I am in a meeting,Ambiguous
Let me discuss with my wife,Ambiguous
I am not sure right now,Ambiguous
Can you give me some time to think,Ambiguous
Send me the loan details first,Ambiguous
What is the outstanding amount exactly,Ambiguous
I need more information about this,Ambiguous
Just send me an email I will see,Ambiguous
